Рецептурный справочник радиолюбителя|Михайлов В. В.
Murata. Резонаторы, конденсаторы керамические, триммеры|Аппаратура
Радиоэлектроника. Конструкции для всех. Книга 2|Адаменко М. В.
Электронные модули стиральных машин|Аппаратура
Основы спектрального анализа|Крук Б. И.
Микросхемы для управления электродвигателями - 2. Справочник|Аппаратура
Технология MIMO. Принципы и алгоритмы|Бакулин М. Г.
Микросхемы современных и зарубежных усилителей низкой частоты - 1. Справочник|Аппаратура
Схемотехника телекоммуникационных устройств, радиоприемные устройства систем мобильной и стационарной радиосвязи, теория электрических цепей|Логвинов В. В.
Сверхширокополосная связь. Теория и применение|Урядников Ю. Ф.
Расчет оборудования мультисервисных сетей связи|Маликова Е. Е.
Теория многоканальных широкополосных систем связи|Кузнецов В. С.
Теория электрических цепей|Соболев В. Н.
Ericsson. Модульные DC/DC-преобразователи|Аппаратура
Космическая электроника. В 2-х книгах|Белоус А. И.
Методы компьютерной обработки сигналов систем радиосвязи|Степанов А. В.
Метрологическое обеспечение видеоинформационных систем|Дворкович В. П.
Основы формирования, передачи и приема цифровой информации|Лузин В. И.
Резонансные усилители на лампах и транзисторах|Демьянов В. В. и Акулиничев И. Т.
Электроника систем автоматического управления на основе микроконтроллеров семейства AVR|Овечкин М. В.
Электродинамика|Сомов А. М.
Расчет антенн земных станций спутниковой связи|Сомов А. М.
Микроконтроллеры для бытовой аппаратуры — 1|Аппаратура
Телекоммуникационные системы и сети. В 3-х томах|Аппаратура
Структурированные кабельные системы для центров обработки данных|Семенов А. Б.
Телекоммуникационные системы и сети. Том 3. Мультисервисные сети|Аппаратура
Телекоммуникационные системы и сети. Том 2. Радиосвязь, радиовещание, телевидение|Аппаратура
Проектирование и производство модулей и микромодулей|Майорове. А.
Электронные вычислительные машины (справочник по конструированию)|Майоров С. А.
Современные зарубежные микрокалькуляторы|Дьяконов В. П.
Акустооптические лазерные системы формирования телевизионных изображений|Гуляев Ю. В.
Отрицательные сопротивления в электронных схемах|Бенинг Ф.
Электроакустические преобразователи|Шарапов В. М.
А. А. Данилин - Спутниковое телевидение. Установка, подключение, ремонт|А. А. Данилин
Магнитные измерения на постоянном и переменном токе|Чернышев Е. Т.
Стереотелевидение|Шмаков П. В.
Справочник конструктора РЭА: Общие принципы конструирования|Ред. Варламов Р. Г.
Современная осциллография и осциллографы|Дьяконов В. П.
Корякин-Черняк С.Л. и др. - Справочник электрика для профи и не только|Корякин-Черняк С.Л. и др.
Измерения и приборы в радиолюбительской практике|Грибанов Ю. И.
Справочник по современным автосигнализациям. Том 2|Корякин-Черняк С.Л.
Справочник по современным автосигнализациям. Том 1|Корякин-Черняк С.Л.
Основы микроэлектроники и технологии производства микросхем|Барканов Н. А. и др.
AutoCAD Electrical 2015. Подключайтесь!|Верма Г.
Аудиосистема класса Hi-Fi своими руками. Советы и секреты|Андреев Д. А.
Корякин-Черняк С.Л., Мукомол Е.А - Справочник по современным автосигнализациям (2 тома)|Корякин-Черняк С.Л.
